Number_of_followers,Number_of_friend,Total_of_tweets,Contain_Picture,Contain_hashtag,Listed_count,User_mentions,Contain_url,Retweet
7795499,186,3934,0,0,1824,0,1,1
443007,74,12118,0,1,262,0,1,1
216739,99,19013,0,1,473,0,1,1
320488,927,81253,0,0,657,0,1,1
266,255,9763,0,0,25,0,1,1
2539751,0,302003,0,1,3353,0,1,1
893,122,3642,0,0,224,0,1,1
63377,181,9077,0,0,171,0,1,1
320488,927,81253,0,0,657,0,1,1
95,1683,8280,0,0,4,1,1,0
153844,768,60528,0,0,164,1,1,1
1945,80,998,0,1,69,1,1,1
75074,166,16419,0,0,159,0,1,1
34583,62,63872,0,0,208,0,1,1
79473,2860,13754,0,0,229,1,1,1
13557,146,14401,0,1,1,0,0,0
320488,927,81253,0,0,657,0,1,1
11414413,511,415736,1,1,10841,0,1,1
401,230,2858,0,1,4,1,1,1
6421,38,1305,0,1,14,0,1,1
4914899,261,214127,0,0,52110,0,1,1
27370085,78,2373,0,0,22983,0,1,1
3222,1421,29893,0,1,1111,0,1,0
4172,3183,32224,0,0,14,0,1,1
75074,166,16419,0,1,159,0,1,1
1760,699,10564,0,0,14,0,1,1
9077,316,7960,0,1,39,0,1,1
167754,307,34936,0,0,361,0,1,1
290,532,5839,1,0,0,0,1,0
1759636,279,16868,0,0,1356,0,1,1
100933,892,68425,1,0,491,0,0,1
2660,1177,55171,0,0,87,1,1,0
6536334,313,518910,0,0,6613,0,1,1
11,86,23,0,0,0,1,1,0
1148235,479,14460,0,0,604,0,1,1
19,131,11,0,0,0,0,1,0
959818,750,17997,0,0,612,0,1,1
60643,501,40642,0,0,182,1,1,1
989215,1605,25572,0,0,681,0,1,1
75074,166,16419,0,0,159,0,1,1
75074,166,16419,0,0,159,0,1,1
13871,75,955,0,0,12,0,1,1
591670,3282,516391,0,0,1289,0,1,1
443007,74,12118,0,1,262,0,1,1
772053,8,404,0,0,131,0,1,1
33088,1330,166364,0,0,414,0,1,1
349,190,572,1,0,0,1,0,0
18257,237,7320,0,0,29,0,1,1
5080,725,2812,0,0,5,1,0,1
484927,3,118048,0,1,982,0,1,1
229048,885,30558,0,0,956,0,1,1
231862,290,202129,0,1,933,0,1,1
8,84,162,0,1,0,0,1,0
3108,3827,121699,0,0,23,0,0,0
36,441,6377,0,0,3,1,1,0
625,1094,11554,0,0,8,1,1,0
71410,1536,2845,0,0,1258,0,1,1
1925,1319,44879,0,1,133,0,1,0
69,139,614,0,0,1,1,0,0
608,730,17628,0,0,28,1,0,1
7592,1967,197727,0,0,134,0,1,1
90,302,14307,0,1,2,0,0,0
1362,394,5202,0,0,6,1,1,0
24,8,20,0,0,0,1,1,1
31543,476,9746,0,0,121,0,1,1
10108,334,887,0,1,85,1,1,1
61094,638,166882,0,0,312,0,1,1
19340,348,4267,0,1,74,0,1,1
4221,2299,65968,0,0,106,0,1,0
9,147,46,0,0,0,1,1,0
5,39,740,0,0,1,1,1,0
282667,74,21354,0,1,669,0,1,1
100933,892,68425,1,0,491,0,0,1
7795499,186,3934,0,0,1824,0,1,1
1215,763,2494,0,0,73,0,1,0
692,60,404,0,0,2,0,1,1
1593,27,2949,0,0,7,0,1,1
501,249,13248,0,0,21,0,1,0
31543,476,9746,0,0,121,0,1,1
443007,74,12118,0,1,262,0,1,1
309480,4,5603,0,0,812,0,1,1
10694,515,13507,0,1,28,0,0,1
17,60,180,0,0,0,1,1,0
9987,356,86989,0,0,124,1,1,1
73,445,488,0,0,0,0,1,0
1281,957,1243,0,1,25,0,1,0
697,100,81977,0,1,640,1,1,1
1157,282,3980,0,0,20,1,1,0
7795499,186,3934,0,0,1824,0,1,1
659,310,1676,0,1,0,1,1,1
1238,0,1861,0,1,3,0,1,1
59098,2,6442,0,0,65,0,1,1
31543,476,9746,0,0,121,0,1,1
55,82,1374,1,0,0,0,0,0
28394,21,65095,0,0,180,1,1,1
5095293,64,1265,0,0,972,0,1,1
41,166,4162,0,1,0,1,0,1
7795499,186,3934,0,0,1824,0,1,1
359,379,4351,0,0,5,1,1,0
20268,884,21605,0,0,694,1,1,0
23019,217,19340,0,0,67,1,1,1
31543,476,9746,0,0,121,0,1,1
7795499,186,3934,0,0,1824,0,1,1
7,44,525,0,0,0,1,1,0
7394,79,13069,0,0,48,0,1,1
3025252,192,18736,0,0,2894,0,1,1
35,57,77,0,1,0,0,1,0
7795499,186,3934,0,0,1824,0,1,1
44304434,2063,20800,0,0,22734,0,1,1
468905,251,53932,0,0,311,0,1,1
45,264,3345,0,0,0,1,1,0
76,142,59,0,1,0,1,1,0
17,82,841,0,0,0,0,1,0
28067,145,78305,0,0,221,0,1,1
40,99,538,0,0,0,1,1,1
5,0,66,0,1,0,0,1,0
573,1110,2221,0,0,4,1,0,0
12970,5427,36991,0,1,137,0,1,1
569,109,25325,0,0,5,1,1,1
15897,301,29867,0,0,81,0,0,1
16897,12709,797,0,1,6,0,1,0
17,82,841,0,0,0,0,1,0
498862,39,5713,0,0,293,0,1,1
518454,45,2053,0,1,99,0,1,1
309480,4,5603,0,0,812,0,1,1
5,43,483,0,0,0,0,1,0
692,60,404,0,0,2,0,1,1
7795499,186,3934,0,0,1824,0,1,1
615414,94,4386,0,1,216,0,1,1
31543,476,9746,0,0,121,0,1,1
19410,409,32954,0,0,148,0,1,1
112,79,146,1,1,0,0,0,1
4,125,208,0,0,0,1,1,0
2228,47,6437,0,0,31,0,1,0
18010421,140,10956,0,0,8977,0,1,1
135022,206,15034,0,0,395,0,1,1
463,161,629,0,0,0,0,1,1
35545,11911,110246,0,1,41,0,1,1
100933,892,68425,1,0,491,0,0,1
129529,274,70613,0,1,468,0,1,1
7795499,186,3934,0,0,1824,0,1,1
614,195,4584,0,1,3,1,1,1
41,125,405,0,1,2,0,1,0
1148235,479,14460,0,0,604,0,1,1
7795499,186,3934,0,0,1824,0,1,1
1260665,154,14863,0,1,834,0,1,1
4131,4995,31618,0,0,290,0,1,1
15675,60,157,0,0,13,0,1,1
100933,892,68425,1,0,491,0,0,1
8881,4800,54437,0,0,13,1,1,0
1020,121,13319,0,0,2,1,1,1
888,206,1567,0,0,38,0,1,1
249,443,4564,0,0,1,1,1,0
1148235,479,14460,0,0,604,0,1,1
716,4179,1318,0,0,22,0,1,0
7795499,186,3934,0,0,1824,0,1,1
2539751,0,302003,0,1,3353,0,1,1
41,166,4162,0,1,0,1,0,1
75074,166,16419,0,0,159,0,1,1
121,244,421,0,0,3,0,1,0
153844,768,60528,0,1,164,0,1,1
524,204,4957,0,0,1,1,0,1
11581,2327,87630,1,0,11,0,0,1
16451889,307,66040,0,0,22471,0,1,1
989215,1605,25572,0,0,681,1,1,1
580,499,11397,0,0,2,1,0,0
100933,892,68425,1,0,491,0,0,1
5890,1102,7355,0,1,130,0,1,1
74018,36,96323,0,0,122,1,0,0
1073,831,6111,0,0,111,1,1,0
423,464,4207,0,1,20,0,1,1
575,115,74377,0,0,22,0,1,0
7795499,186,3934,0,0,1824,0,1,1
14204,7900,75065,0,0,258,0,1,0
309480,4,5603,0,0,812,0,1,1
48,106,524,1,0,0,0,1,0
11414413,511,415736,1,1,10841,0,1,1
13712,2449,16589,0,1,731,0,1,1
126,483,1645,1,0,2,0,1,1
13,68,36,0,0,0,0,1,0
4608,955,15939,0,0,41,0,1,1
3502,102,2399,0,0,77,1,1,0
141,591,540,1,0,0,1,0,0
28394,21,65095,0,0,180,1,1,1
320488,927,81253,0,0,657,0,1,1
17,82,841,0,0,0,1,1,0
19410,409,32954,0,0,148,0,1,1
8659049,320,322164,0,0,4528,0,1,1
14,229,39,0,0,0,1,1,0
2933851,421,486502,0,0,4534,0,1,1
7795499,186,3934,0,0,1824,0,1,1
18257,237,7320,0,0,29,0,1,1
6394,1,7751,0,1,1,1,1,1
614375,104,5759,0,0,321,0,1,1
79473,2860,13754,0,0,229,1,1,1
4611309,2508,53672,0,0,1428,0,1,1
1647293,15,156856,0,0,947,0,1,1
9437,558,181254,0,0,85,0,1,1
99,142,6399,0,0,2,0,1,0
309480,4,5603,0,0,812,0,1,1
498862,39,5713,0,0,293,0,1,1
608,730,17628,0,0,28,1,0,1
16526,429,17827,0,0,72,0,1,1
4085289,3,2592,0,0,1354,0,1,1
63377,181,9077,0,0,171,0,1,1
41,166,4162,0,1,0,1,0,1
26006,903,73027,0,0,201,0,1,1
1020,121,13319,0,0,2,1,1,1
1566,2326,3126,0,0,0,0,1,0
439,1699,384,0,1,4,0,1,0
110,121,2157,0,0,1,0,1,1
132537,1248,4015,0,1,206,0,1,1
2099675,114,9509,0,0,872,0,1,1
621,210,751,0,0,7,1,1,0
1562,1229,31522,0,0,15,1,1,0
30,60,208,0,0,4,0,1,0
772053,8,404,0,0,131,0,1,1
1122012,72,163455,0,1,844,0,1,1
282667,74,21354,0,1,669,0,1,1
41,166,4162,0,1,0,1,0,1
71410,1536,2845,0,0,1258,0,1,1
6958,1725,18762,0,0,57,0,1,1
4787,4365,59635,0,0,30,1,1,1
443,102,70372,0,0,35,0,1,0
275525,1506,63402,0,1,463,0,1,1
100,38,806,0,0,0,1,1,0
614587,195,104097,0,0,896,0,1,0
63377,181,9077,0,0,171,0,1,1
796221,213,3912,0,0,247,0,1,1
287925,135,12807,0,0,171,1,1,1
75074,166,16419,0,0,159,0,1,1
103,506,8423,0,0,1,1,1,0
2161,56,14196,0,0,1,0,1,0
4008,50,25449,0,0,9,0,1,0
4283222,1,4374,0,1,496,0,1,1
834,1,1382,0,1,45,1,1,1
6536334,313,518910,0,0,6613,1,1,1
41,166,4162,0,1,0,1,0,0
116269,27,123561,1,1,197,0,1,1
3735,4951,90334,1,1,611,0,1,0
1415,2082,2289,0,0,10,0,1,0
6536334,313,518910,1,1,6613,0,1,1
28,16,65,0,1,0,1,1,0
22409,3229,306128,0,0,218,0,1,1
309480,4,5603,0,0,812,0,1,1
3057,118,1025,0,1,20,0,1,1
5,43,483,0,0,0,0,1,0
13883,1040,154687,0,0,162,0,1,1
25803,1074,35871,0,0,544,0,1,1
608,730,17628,0,0,28,1,0,1
8,74,217,0,0,0,1,0,0
796221,213,3912,0,0,247,0,1,1
7795499,186,3934,0,0,1824,0,1,1
69,360,11683,0,0,1,1,0,0
9077,316,7960,0,1,39,0,1,1
659,310,1676,0,1,0,1,1,1
11532,537,61519,0,0,388,0,1,0
100933,892,68425,1,0,491,0,0,1
0,2,1,0,0,0,1,1,0
1647293,15,156856,0,0,947,0,1,1
8338594,492,65901,0,1,4631,0,1,1
26696,10,2574,0,0,24,0,1,1
6941,96,652,0,0,10,0,1,1
1260665,154,14863,0,1,834,0,1,1
216739,99,19013,0,1,473,0,1,1
2356,48,783,0,1,5,0,1,1
3324,2138,15411,1,0,173,1,0,0
3057,118,1025,0,1,20,0,1,1
1540,32,5792,0,1,52,0,1,0
135022,206,15034,0,0,395,0,1,1
618450,3848,14464,0,0,375,0,1,1
384,225,1761,0,1,85,0,1,0
334099,435,142612,0,1,326,0,1,1
320488,927,81253,0,0,657,0,1,1
409,95,197,0,1,2,0,1,1
989215,1605,25572,0,0,681,0,1,1
135022,206,15034,0,0,395,0,1,1
2446,4629,12916,0,0,4,0,1,1
176860,578,11881,0,0,284,0,1,1
69907,1953,16595,0,1,120,0,1,1
79473,2860,13754,0,0,229,1,1,1
772053,8,404,0,0,131,0,1,1
1334,1764,49065,0,0,43,1,1,1
679,270,7026,0,0,1,1,1,0
36689383,78,57436,0,1,29451,1,1,1
2459,1159,116,0,1,4,0,1,0
5080,725,2812,0,0,5,1,0,1
127,628,183,0,1,0,0,1,0
3,23,60,0,0,0,0,1,0
27370085,78,2373,0,0,22983,0,1,1
176860,578,11881,0,0,284,0,1,1
33088,1330,166364,0,0,414,0,1,1
821,408,5649,0,0,5,0,1,0
973483,209,95942,0,0,875,0,1,1
28318,225,17077,0,0,113,0,1,1
309480,4,5603,0,0,812,0,1,1
33408,279,27070,0,0,342,0,0,1
2519,29,311,0,1,7,0,1,1
42309550,874,336692,0,0,197253,0,1,1
79473,2860,13754,0,0,229,1,1,1
2013216,123,39801,0,1,135,1,1,1
108030,20,8313,0,0,102,1,1,0
989215,1605,25572,0,0,681,0,1,1
80,1066,9021,0,0,1,0,1,1
44304435,2063,20800,0,0,22734,0,1,1
22864,1721,7030,0,0,38,0,1,1
11691638,257,3646,0,0,2480,0,1,1
1978498,1035,510206,0,0,3946,0,1,1
8129,471,1330,0,0,68,0,1,1
4,37,38,0,0,0,0,1,0
1,0,31,0,0,0,0,1,1
44304435,2063,20800,0,0,22734,0,1,1
484927,3,118048,0,0,982,0,1,1
989215,1605,25572,0,0,681,0,1,1
69907,1953,16595,0,1,120,0,1,1
5,43,483,0,0,0,0,1,0
6002,3033,43130,0,0,58,0,1,1
524318,722,342227,0,0,15601,0,1,1
69907,1953,16595,0,1,120,0,1,1
231862,290,202129,0,1,933,0,1,1
28067,145,78305,0,0,221,0,1,1
3057,118,1025,0,1,20,0,1,1
63377,181,9077,0,0,171,0,1,1
11193,1827,19111,0,1,232,1,0,1
1111,160,18346,0,0,10,0,1,1
44048,2544,74629,0,0,364,0,1,1
613805,1024,22506,0,1,313,0,1,1
2539751,0,302003,0,1,3353,0,1,1
31389,23160,18934,1,0,373,0,0,1
320488,927,81253,0,0,657,0,1,1
989215,1605,25572,0,0,681,0,1,1
9115,4737,24649,0,0,56,0,1,1
989215,1605,25572,0,0,681,0,1,1
1117,320,4019,0,0,29,0,1,1
21076,1151,29089,0,0,207,0,1,1
69907,1953,16595,0,1,120,0,1,1
74062,538,5474,0,0,80,0,1,1
20,40,2495,1,0,0,0,0,0
6536334,313,518910,1,1,6613,0,1,1
3130,26,1847,0,0,1,0,1,0
141284,2,9800,0,0,218,0,1,1
80624,666,56611,0,0,565,0,1,1
100933,892,68425,1,0,491,0,0,1
222,13,5977,0,1,34,1,1,0
1148235,479,14460,0,0,604,0,1,1
2951,502,12043,0,1,50,1,1,1
7795499,186,3934,0,0,1824,0,1,1
